UNSKILLED_LABOR,FEMALE
washer ,1572
wash ,66
washer when able ,39
rag & bone,37
whitewasher ,25
cuts carpet rags ,22
cuts rags ,22
whitewashing ,17
washer when can get it ,16
washing days work ,16
