More than One,MALE
various,62
wood sawyer waiter,2
boot & shoemaker,1
dyer scouner,1
hod carrier wood sawyer,1
hominy dealer,1
huckster,1
in winter jobbing in summer ice cream,1
musician & boot mr,1
washer french cook and musician,1
