Domestic & Personal Service,FEMALE
washer,1806
ironing,447
domestic duties,330
cook,153
service,129
house cleaning,57
house keeper,36
assists husband,14
healthcare,12
at home,11
eating house,7
childcare,4
assignation house,3
assists at home,3
boarder,3
