ID,Males intemperate,Females intemperate,Can read,Can write,Born slaves,Bought freedom,Attend religious meetings,Not attend religious meetings,Belong to temperance societies,Source
0100,,,1,,,,4,,,City
0101,,,4,4,,,4,,,City
0102,,,4,4,,,4,,3,City
0103,,,3,3,,,3,,,City
0104,,,6,6,,,8,,,City
0105,,,3,3,,,4,,2,City
0106,1,,3,3,,,2,1,,City
0107,,,2,2,,,2,,,City
0108,,,2,2,2,,2,,,City
0109,,,1,,,,3,,,City
0110,,,4,3,,,5,,,City
0111,,,,,,,1,,,City
0112,,,1,,1,,1,1,,City
0113,,,1,,,,2,,,City
0114,,,1,,1,,1,2,1,City
0115,,,1,1,1,,2,,,City
0116,,,,,,,,2,,City
0117,,,1,,,,,2,,City
0118,,,1,,,,,2,,City
0119,1,,2,1,,,,3,,City
0120,,,1,1,1,,,3,,City
0121,,,2,2,,,1,5,,City
0122,,,1,,3,,1,3,,City
0123,1,,2,1,,,1,2,,City
0124,,,1,,,,3,2,,City
0125,,,,,,,1,,,City
0126,,,6,6,,,6,,,City
0127,,,5,5,,,5,,,City
0128,,,1,1,,,5,,,City
0129,,,1,,1,,1,1,,City
0130,,,1,1,1,,1,,,City
0131,,,2,1,2,2,3,,,City
0132,,,2,,2,1,2,,,City
0133,,,3,1,,,4,,,City
0134,,,1,1,1,,3,,,City
0135,,,2,2,,,2,,2,City
0136,,,1,1,,,2,,,City
0137,,,2,,,,2,2,,City
0138,,,2,1,,,2,,,City
0139,,,,,,,1,,,City
0140,,,,,,,1,,,City
0141,,,1,,,,2,,,City
0142,,,2,2,,,,,,City
0143,,,,,,,1,,,City
0144,,,1,,,,1,,,City
0145,,,4,4,,,4,,,City
0146,,,2,2,,,3,,,City
0147,,,5,5,,,5,,1,City
0148,,,1,1,,,3,,,City
0149,,,1,1,,,2,,,City
0150,1,,1,1,,,1,,,City
0151,,,4,2,,,4,,,City
0152,,,3,1,,,2,1,,City
0153,,,1,1,,,1,,,City
0154,1,,1,1,,,,1,,City
0155,,,4,4,,,3,,3,City
0156,,,4,3,,,5,,,City
0157,,,4,3,,,3,1,1,City
0158,1,,2,2,,,2,,,City
0159,,,2,1,,,4,,1,City
0160,,,1,,1,,1,,,City
0161,,,,,,,1,,,City
0162,,,,,,,2,,,City
0163,1,,,,2,,3,,,City
0164,,,1,1,,,1,,,City
0165,,,8,8,,,8,,,City
0166,,,4,2,,,4,,1,City
0167,,,6,3,,,8,,2,City
0168,,,1,1,,,2,,1,City
0169,,,9,9,,,11,,,City
0170,,,1,,,,2,,,City
0171,,,2,,,,,,,City
0172,,,2,2,,,,,,City
0173,,,9,9,,,9,,,City
0174,,,11,11,,,13,,5,City
0175,,,4,2,1,,5,,,City
0176,,,1,1,,,1,,,City
0177,,,4,2,,,4,,,City
0178,,,2,,,,4,,,City
0179,,,6,6,,,6,,,City
0180,,,2,2,,,2,,,City
0181,,,4,,,,6,,,City
0182,,,3,3,,,4,,,City
0183,,,1,,,,2,,,City
0184,,,,,,,1,,,City
0185,,,3,3,,,3,,,City
0186,,,2,1,,,2,,,City
0187,,,2,1,,,2,,,City
0188,,,1,1,,,2,,,City
0189,,,,,2,,2,,,City
0190,,,,,,,1,,,City
0191,,,2,,,,3,,,City
0192,,,1,,,,2,,,City
0193,,,3,3,,,4,,3,City
0194,,,2,1,,,2,,,City
0195,,,,,,,5,,1,City
0196,,,1,,,,2,,,City
0197,,,,,,,3,,,City
0198,,,,,,,1,,,City
0199,,,,,,,1,,,City
0200,,,3,1,,,9,,3,City
0201,,,1,1,,,1,,,City
