ID,OCCUPATION,COUNT
354,porter ,1
355,drives cart ,1
356,hod carrier irregular ,1
357,various irregular ,1
358,null,null
359,null,null
360,laborer each ,2
361,labr ,1
361,in summer ,1
362,waterman ,1
363,puts in coal ,1
363,laborer ,1
364,null,null
365,waiter wages very low ,1
366,coachman ,1
367,null,null
368,no occupation lame ,1
369,null,null
370,null,null
371,whitewasher ab ,1
371,year round ,1
372,null,null
373,tailor cant tell ,1
374,barber dont know ,1
375,null,null
376,porter sometimes ,1
377,null,null
378,porter ,1
379,porter very little drives coal cart ,1
380,drives dray ,1
381,tanner ,1
382,various irregular ,1
383,boat ,1
383,shoemaker about ,1
383,a ,1
384,porter about ,1
385,drives dray ,0
386,barber ,4
386,coachman ,1
387,porter ,1
388,null,null
389,confectioner ,1
390,waterman ,2
390,porter ,2
391,null,null
392,laborer ,3
393,porter ab ,1
394,laborer irregular ,1
395,porter but little ,1
396,null,null
397,null,null
398,wood sawyer ,1
398,porter ,1
399,service ,1
400,null,null
401,stevedore cant tell ,1
402,drives herse ,1
402,various ,1
403,hod carrier ,1
404,clothes dealer ,1
405,ab ,1
406,waiter ,1
407,stone dealer ,1
407,barber ,1
408,hod carrier dont know ,1
409,various ,1
409,seaman ,1
410,herb doctor cant tell ,1
411,clothes dealer ,1
412,tailor irregular ,1
413,null,null
414,tailor irregular ,1
415,seaman ,1
416,null,null
417,huxter ,1
418,shoemaker ,1
419,school teacher ,1
420,cupper bleeder ,1
421,porter ,1
422,porter ,1
423,coachman ,1
424,null,null
425,porter ,1
426,seaman ,1
427,eating house ,1
428,porter ,1
428,laborer ,1
429,stevedore irregular ,1
430,porter very dull ,1
431,hod carrier ,1
432,seaman ,1
433,stevedore ,1
434,null,null
435,null,null
436,various irregular ,1
437,null,null
438,coachman ,1
439,null,null
440,lab in stove store part of the time ,1
441,various very little ,1
442,rag dealer ,1
443,rag dealer ,1
444,null,null
445,null,null
446,waiter ,1
447,stevedore irregular ,1
448,porter ,1
449,cant tell ,1
450,waiter ,1
451,waiter ,1
452,waiter ,1
453,paster central presbyterian church ,1
454,null,null
455,seaman ,1
456,null,null
457,waiter ,1
458,null,null
459,null,null
460,laborer ,1
461,null,null
462,porter ,1
463,null,null
464,null,null
465,null,null
466,waiter ,1
467,steward ab ,1
468,boot blacks ab ,1
469,boot blacks ab ,1
470,wood sawing when able ,1
471,null,null
472,cake baker ,1
473,null,null
474,null,null
475,null,null
476,null,null
477,porter ,1
478,seaman ,1
478,cobbler ,1
479,lab in dug mill ,1
479,wood sawyer ,1
480,porter irregular ,1
481,hod carrier ,1
481,various ,1
482,laborer ,1
483,laborer ,1
484,drives cart ,1
485,hod carrier ,1
486,cook ,1
487,stevedore ,1
488,stevedore ,1
489,porter ,1
490,porter irregular ,1
491,porter very little now ,1
492,porter ab ,1
493,seaman ,1
494,null,null
495,null,null
496,hod carrier ,0
496,r ,1
496,in good weather ,1
497,herb doctor ab ,1
498,null,null
499,seaman ,1
500,shoemaker ,1
501,past doing work ,1
502,wood sawyer ,1
503,porter ,1
504,null,null
505,various kinds ,1
506,seaman ,1
507,null,null
508,painter ,1
508,glazier ,1
508,waiter ,1
509,porter ,1
509,not able ,1
510,hod carrier ,1
511,null,null
512,shoemaker ,1
512,various very little ,1
513,various kinds ,1
514,null,null
515,laborer ,1
515,porter ,1
516,laborer ,1
517,hod carrier ,1
518,seaman ,1
518,various ,1
518,grain carrier ,1
519,grain carrier cant tell ,1
520,null,null
521,laborer ,1
522,laborer ,1
523,null,null
524,seaman ,1
525,barber ,1
526,null,null
527,porter ,1
528,null,null
529,shop keeper ,1
530,lab in drug store ,1
531,laborer ,1
532,null,null
533,school teacher ,1
534,coachman ,1
535,seaman ,1
536,temp seaman ch ,1
537,oyster stand irregular ,1
538,null,null
539,shoemaker ,1
540,laborer irregular ,1
541,carter his own ,1
542,huxter laborer ,1
542,porter ,1
543,carter his own ,1
544,null,null
545,waiter ,1
546,waiter ,1
547,various ,1
548,null,null
549,null,null
550,null,null
551,seaman ,1
552,seaman ,1
552,wood sawyer ,1
553,porter ,1
554,null,null
555,null,null
556,porter ,1
557,null,null
558,peddler ,1
559,null,null
560,seaman ,1
560,porter ,1
561,null,null
562,wood sawyer ,1
563,null,null
564,hod carrier ,1
565,null,null
566,null,null
567,seamen ,1
568,null,null
569,stevedore ,1
569,hod carrier ,1
569,sometimes ,1
570,various ,1
571,waterman ,1
572,carter his own ,1
573,porter ,1
574,null,null
575,waterman ,1
576,various ,1
577,porter ,3
578,well digger ,1
578,or ,1
579,null,null
580,grain carrier ,1
581,null,null
582,carter his own ,1
582,drives cart ,1
583,various sometimes ,1
584,showm average ,1
585,shoem ,2
585,eating house ,1
585,laborer ,1
586,lab in boat yard ,1
587,null,null
588,shoemaker is unsteady ,1
589,hod carrier ,1
590,null,null
591,oyster house ,1
592,painter ,1
592,glazier ,1
593,hod carrier cant tell ,1
594,porter not much ,1
595,porter irregular ,1
596,cake baker ,1
597,laborer ,1
598,null,null
599,stevedore cant tell ,1
600,lab in oyster h ,1
601,porter ,1
602,waiter ,1
603,porter irregular ,1
604,well digger or anything can get to do ,1
605,waiter ,1
606,wood sawyer ,1
607,hominy dealer ,1
608,hod carrier ,1
609,rag dealer cant tell ,1
610,null,null
611,stevedore dull in winter ,1
612,hod carrier ,1
612,in sum ,1
613,waiter ,1
614,waiter ,1
615,oyster peddler ,1
616,salt carrier irregular ,1
617,laborer ,1
618,sweep ,1
619,salt carrier ,1
620,null,null
621,waiter ,1
622,null,null
623,seaman ,1
624,basket maker ,1
625,null,null
626,porter ,1
627,null,null
628,null,null
629,porter cant tell ,1
630,porter ,2
631,porter ,2
632,wood sawyer ,1
632,porter ,1
633,laboter ,1
634,null,null
635,porter ,1
636,porter ,1
637,porter ,1
638,seaman ,1
639,boarding house ,1
640,lab with grain meast ,1
641,null,null
642,null,null
643,barber cant tell ,1
644,putting in coal ,1
645,porter ,1
645,or ,1
645,a ,1
645,sometimes ,1
646,barber ,1
647,laborer ,1
648,hod car ,1
648,wood sawyer ,1
649,not able to work ,1
650,various ,1
651,crippled in his hands ,1
652,null,null
653,porter ,1
654,rag dealer ,1
655,laborer irregular ,1
656,null,null
657,null,null
658,porter ,1
659,null,null
660,null,null
661,grain carrier good wages sometimes ,1
662,huxter very dull ,1
663,seaman ,1
664,lab with grain measure ,1
664,hod carriers ,2
665,waterman part of his time ,1
666,laborer ,1
667,hod carrier ,1
668,porter ,1
669,various ,1
670,musician ,1
671,drives cart ,1
672,porter cant tell ,1
673,barber ,1
674,cook ,1
675,waiter ,1
676,waiter ,1
677,seaman ,1
678,cake peddlers ,2
679,waiter ,1
680,waiter ,1
680,seaman ,1
681,past work ,1
682,porter cant tell ,1
683,null,null
684,wood sawyer ,1
685,hominy man ,1
686,null,null
687,boot ,1
687,shoe m average ,1
687,clear ,1
688,null,null
689,not able ,1
690,null,null
691,laborer ,1
692,private teacher ,1
693,waiter ,1
694,laborer ,1
695,waterman ,1
696,barber cant tell ,2
697,hod car ,1
697,sometimes ,1
698,waiter ,1
698,porter ,1
699,null,null
700,hod car ,1
700,now ,1
701,porter dont know ,1
702,null,null
703,null,null
704,porter very little ,1
705,null,null
706,boxman ,1
707,null,null
708,null,null
709,laborer ,1
710,seaman ,1
710,not able ,1
711,porter dull moro ,1
712,waiter ,1
713,porter cant tell ,1
714,null,null
715,boxman ,1
716,seaman ,1
717,waiter ,1
718,laborer ,1
718,in summer ,1
719,porter ,1
720,hostler ,1
721,laborer ,1
721,porter ,1
721,waiter ,1
722,seaman ,1
723,cook ,1
724,porter house ,1
724,porter ,1
725,seaman ,1
726,barber ,1
727,null,null
728,null,null
729,porter ,1
730,null,null
731,null,null
732,dealer pretty good ,1
733,shoemaker ,1
734,steward ,1
735,null,null
736,seaman cant tell ,1
737,steward ,1
738,drivews fur cart his own ,1
739,null,null
740,porter ,1
741,white washer irregular ,1
742,barber dont know ,1
743,waiter ,1
744,null,null
745,null,null
746,tailor cant tell ,1
747,stove dealer ,1
748,porter ,1
748,waiter ,1
749,eating house ,1
750,hackman his own ,1
751,null,null
752,null,null
753,null,null
754,null,null
755,null,null
756,hominy man and hackman his own ,1
757,sadler ,1
757,porter ,1
758,null,null
759,cabinetmr ,1
759,undertaker ,1
759,barber ,1
760,null,null
761,carter his own ,1
762,engineer ,1
763,oyster peddler ,1
764,hod car when can get it ,1
765,oyster house ,1
766,barber ,1
767,carterhis own ,1
768,carterhis own ab ,1
769,porter ,1
770,null,null
771,not able to do much ,1
772,stevedore ,1
772,sometimes ,1
773,porter ,1
774,various ,1
775,seaman ,1
776,barber ,2
777,waiter ,1
778,null,null
779,null,null
780,waiter ,1
781,eating house ,1
782,cook ,1
783,brick moulder ,1
784,null,null
785,waiter ,1
786,null,null
787,waiter ,1
788,hod carrier ,1
789,sail ,1
789,when has work ,1
790,not able ,1
791,porter ,1
792,seaman ,1
793,carpenter ,1
793,builder ,1
793,type caster ,1
794,hod carrier ,1
795,various ,1
796,school teacher ,1
797,null,null
798,null,null
799,seaman ,1
800,null,null
801,null,null
802,null,null
803,waiter ,1
804,waiter ,1
804,seaman ,1
805,stevedore ,1
805,oyster peddler ,1
806,waiter ,1
807,porter ,1
807,or ,1
807,sometimes ,1
808,master carpenter ,1
809,porter ,2
810,waiter ,1
811,waiter ,1
812,various ,1
813,coachman ,1
814,porter ,2
814,lab ,1
815,null,null
816,null,null
817,null,null
818,seaman ,1
819,porter ,1
820,null,null
821,waiter ,1
822,null,null
823,null,null
824,seaman ,1
825,null,null
826,null,null
827,wood sawyer ,1
828,null,null
829,null,null
830,null,null
831,waiter ,1
832,stevedore ,1
833,wood sawyer ,1
834,clothes dealer ,1
835,various ,1
836,barber ,1
837,seaman ,1
838,seaman ,1
839,null,null
840,null,null
841,waiter ,1
842,null,null
843,null,null
844,barber ,2
845,eating house ,1
846,porter ,1
847,null,null
848,null,null
849,washer ,1
850,past labor ,1
851,null,null
852,null,null
853,coachman ,1
854,barber ,1
855,tavern keeper ,1
855,undertaker ,1
856,porter ,1
857,white washer ,1
858,waiter ,1
859,white washer ,1
860,waiter ,1
861,washer ,1
861,bootmaker ,1
862,null,null
863,null,null
864,null,null
865,clothes dealer ,1
866,huxter ,1
867,porter ,1
868,carpenter ,2
869,indian doctor ,1
870,mans nurse ,1
871,barber ,1
872,null,null
873,various ,1
874,shoemaker ,1
875,seaman ,1
876,null,null
877,seaman ,1
878,various ,1
879,laborer ,1
880,null,null
881,null,null
882,muffin baker ,1
883,null,null
884,null,null
885,laborer ,1
886,null,null
887,null,null
888,seaman ,1
889,null,null
890,null,null
891,waiter ,1
891,laborer ,1
892,null,null
893,shoem ,1
893,musician ,1
894,null,null
895,seaman ,1
896,cook ,1
897,null,null
898,null,null
899,master cooper in ny ,1
900,porter ,1
901,null,null
902,null,null
903,null,null
904,not able ,1
905,stevedore ,1
906,waterman ,1
907,huxter ,1
908,blind not able ,1
909,null,null
910,stevedore ,1
911,porter ,1
912,seaman ,1
913,laborer ,1
914,null,null
915,stevedore ,1
916,seaman ,1
917,stevedore ,1
918,public waiter ,1
919,null,null
920,null,null
921,stevedore ,1
922,null,null
923,stevedore ,1
923,seaman ,1
924,null,null
925,shoemaker ,1
926,porter ,1
927,musician ,1
928,waiter ,1
929,laborer ,1
930,laborer ,1
931,null,null
932,null,null
933,null,null
934,stevedore ,1
935,stevedore ,1
935,lab ,1
936,null,null
937,null,null
938,waiter ,1
939,traveling preacher ,1
940,cook ,1
940,not able ,1
941,null,null
942,waiter ,2
943,porter ,2
944,null,null
945,waiter ,1
946,waiter ,1
947,null,null
948,null,null
949,brick moulder ,1
950,null,null
951,hod carrier ,2
952,null,null
953,null,null
954,null,null
955,music teacher ,1
956,wood piler ,1
957,dealer ,1
958,null,null
959,null,null
960,porter ,1
961,plasterer ,1
962,null,null
963,null,null
964,null,null
965,null,null
966,drives cart ,1
967,null,null
968,porter ,1
969,various ,1
970,waiter ,1
971,herb doctor ,1
972,null,null
973,null,null
974,waiter ,1
974,cook ,1
975,laborer ,1
976,null,null
