ID,OCCUPATION,COUNT
0295,washer ,1
0296,washer ,1
0297,null,null
0298,dressmaker ,1
0299,null,null
0300,service ,1
0301,washer ,1
0301,dressmaker ,1
0302,upholsteress ,1
0303,assists husband ,1
0304,dressmaker ,1
0304,washer ,1
0304,nurse ab ,1
0305,shirt makers ,3
0305,quilters ab ,1
0306,null,null
0307,washer ,1
0308,washer ,1
0309,washer ,1
0310,muffin baker ,1
0311,intelligence office ,1
0311,sempstress ,1
0312,childs nurse ,1
0312,days work ,1
0313,washer ,1
0314,washer ,1
0315,domestic duties ,1
0316,washer ,1
0317,washer ,1
0318,washer ,1
0319,washer irregular ,1
0320,sempstress ,1
0321,days work ,1
0322,dom duties ,1
0323,care takes school room ,1
0324,sempstress ,1
0325,days work in spring ,1
0325,fall ,1
0326,washer ,1
0326,sempstress ,1
0327,service ,1
0328,white washers ,3
0329,washer ,1
0329,tailoress ,1
0330,shirtm ,1
0330,dom duties ab ,1
0331,washer ,1
0331,dressmaker ,1
0332,dressm ,1
0332,millener ab ,1
0333,washer ,1
0334,days work ,1
0334,dressm iregular ,1
0335,service ,1
0336,days work ,1
0337,null,null
0338,null,null
0339,washer very irregular ,1
0340,days work irregular ,1
0341,days work irregular ,1
0342,days work irregular ,1
0343,domestic duties ,1
0344,days work ,1
0345,days work ,1
0346,days work irregular ,1
0347,janiitor ,1
0348,days work average ,1
0349,days work ,1
0350,days work ,1
0351,days work irregular ,1
0352,null,null
0353,days work ,1
0353,rag sorter ,1
0354,days work ,1
0355,days work irregular ,1
0356,days work irregular ,1
0357,days work ,1
0358,days work ,1
0358,round ,1
0359,days work considerable in summer ,1
0360,days work irregular ,1
0361,days work very little ,1
0362,washer ,1
0363,domestic duties ,1
0364,washer cant tell ,1
0365,days work ,1
0366,white washer ,1
0367,not able to work ,1
0368,washer cant tell ,1
0369,service ,1
0370,days work ,1
0371,washer ,1
0372,days work ,1
0373,washer ,3
0374,dressmakers very little ,3
0375,sempstress irregular ,1
0376,washer cant tell ,1
0377,washer very little ,1
0378,dom duties ,1
0379,days work very little ,1
0380,sempstress ,1
0381,dom duties ,1
0382,washer less than ,1
0382,round ,1
0383,domestic duties ,1
0384,washer ,1
0385,washer ,1
0386,dom duties ,1
0386,dressmaker ,1
0387,washer very little ,1
0388,days work ,1
0389,confectioner ,1
0390,days work very little ,1
0391,days work ,1
0392,washer very little ,1
0393,washer irregular ,1
0394,rug maker ,1
0395,washer cant tell ,1
0396,washer ,1
0397,days work ,1
0398,washer but little ,1
0399,washer but little ,1
0400,washer cant tell ,1
0401,service ,1
0402,washer irregular ,1
0403,does mothing ,1
0404,washer very little ,1
0405,dress m millinary dont know ,1
0406,days work ab ,1
0406,average ,1
0407,shop keeper ,1
0408,days work very little ,1
0409,washer ,1
0409,white washer ,1
0410,sempstress dont know ,1
0411,school teacher ,1
0412,dressm very little ,1
0413,cook ,1
0414,cook ,1
0415,washer ,1
0416,days work ,1
0417,washer ,1
0418,washer ,1
0419,washer ,1
0420,washer ,1
0421,null,null
0422,null,null
0423,null,null
0424,days work ,1
0425,washer ,1
0426,sempstress ,1
0427,assists husband ,1
0428,days work ,1
0429,not able to work ,1
0430,washer little ,1
0431,null,null
0432,dom duties ,1
0433,days work ,1
0434,washer cant tell ,1
0434,not able to work ,1
0435,days work ,1
0436,days work irregular ,1
0437,days work ,1
0438,washer very little ,1
0439,service ,1
0440,washer ,1
0441,days work very dull ,1
0442,days work when can get it ,1
0443,dressm nothing to do ,1
0444,washer ,1
0444,white washer ,1
0445,service ,1
0446,cook ,1
0447,washer not able to do much ,1
0448,domestic duties ,1
0449,washer ,1
0450,washer ,1
0451,washer cant get much to do ,1
0452,washer irregular ,1
0453,washer ,1
0454,not able to work ,1
0455,service ,1
0456,days work ,1
0457,domestic duties ,1
0458,service ,1
0459,days work ,1
0460,days work ,1
0461,days work ,1
0462,domestic duties ,1
0463,cook ,1
0464,sempstress ,1
0465,days work ,1
0466,washer dont know ,1
0467,sempstress ,1
0468,days work ,1
0469,shop keeper ab ,1
0470,washer when able ,1
0471,dress maker ,1
0472,null,null
0473,makes cocoanut candy ,1
0474,cook ,1
0475,days work ,1
0476,huxter ,1
0477,washer ,1
0478,washer ,1
0479,washing or sewing when can get it ,1
0480,null,null
0481,domestic duties ,1
0482,washer ,1
0483,days work ,2
0484,days work when can get it ,1
0485,days work occationally ,1
0486,service ,1
0487,days work very dull ,1
0488,null,null
0489,days work very little ,1
0490,not able to work ,1
0491,washer cant make much gets cheated so ,1
0492,null,null
0493,cook ,1
0493,sometimes ,1
0494,washer dont know ,1
0495,service ,1
0496,dom duties ,1
0497,null,null
0498,washer ,1
0499,days work ,1
0500,null,null
0501,null,null
0502,days work ,1
0503,huxter ,1
0504,days work very little ,1
0505,days work ,1
0506,days work when able ,1
0507,washes ,1
0508,days work very dull ,1
0509,dom duties ,1
0510,washer when can get it ,1
0511,days work scarcely any ,1
0512,cuts carpet rags ,1
0513,not able to work ,1
0514,wash when can get it ,1
0515,days work slack time now ,1
0516,days work ,1
0517,cook when able to go ,1
0518,cook ,1
0519,days work cts ,1
0519,sometimes ,1
0520,days work ,1
0521,days work ,1
0522,cuts carpet rags less than cts ,1
0523,huxter ,1
0524,at days work irregular ,2
0525,assist father ,1
0526,days work ,1
0527,various ,1
0528,various so little ,1
0529,huxter ,1
