99,boot black . . . . . . . . .,. . . . . . .,,,,,
100,service . . . . . . . . . .,. . . . . . .,,,,,
101,. barber . port . sign painter . photographist . .,2 1 . . . . .,,,,,
102,boot maker . . . . . . . . .,. . . . . . .,,,,,
103,barber . clear . . . . . . . .,. . . . . . .,,,,,
104,. . . . . . . . . . .,. . . . . . .,,,,,
105,barber about . . clear . . . . . .,. . . . . . .,,,,,
106,barber . . . . . . . . . .,. . . . . . .,,,,,
107,waiter . . . . . . . . . .,. . . . . . .,,,,,
108,laborer . . . . . . . . . .,. . . . . . .,,,,,
109,drives dray . . . . . . . . .,. . . . . . .,,,,,
110,stevedore . . . . . . . . . .,. . . . . . .,,,,,
111,. . . . . . . . . . .,. . . . . . .,,,,,
112,. . . . . . . . . . .,. . . . . . .,,,,,
113,wire worker ab . . . . . . . .,. . . . . . .,,,,,
114,. . . . . . . . . . .,. . . . . . .,,,,,
115,seaman . . . . . . . . . .,. . . . . . .,,,,,
116,porter . . . . . . . . . .,. . . . . . .,,,,,
117,seaman . . . . . . . . . .,. . . . . . .,,,,,
118,. . . . . . . . . . .,. . . . . . .,,,,,
119,musician . boot mr . . . . . . .,. . . . . . .,,,,,
120,drives fur car . . . . . . . .,. . . . . . .,,,,,
121,drives fur car . . . . . . . .,. . . . . . .,,,,,
122,. . . . . . . . . . .,. . . . . . .,,,,,
123,. . . . . . . . . . .,. . . . . . .,,,,,
124,. . . . . . . . . . .,. . . . . . .,,,,,
125,. . . . . . . . . . .,. . . . . . .,,,,,
126,barber . . . . . . . . . .,. . . . . . .,,,,,
127,ladies shoemaker . . . . . . . . .,. . . . . . .,,,,,
128,barber . . . . . . . . . .,. . . . . . .,,,,,
129,porter about . . . . . . . . .,. . . . . . .,,,,,
130,steward . . . . . . . . . .,. . . . . . .,,,,,
131,porter . . sometimes . . . . . . .,. . . . . . .,,,,,
132,porter . . . . . . . . . .,. . . . . . .,,,,,
133,barber . . . . . . . . . .,. . . . . . .,,,,,
134,. . . . . . . . . . .,. . . . . . .,,,,,
135,sea capt about . . . . . . . .,. . . . . . .,,,,,
136,service . . . . . . . . . .,. . . . . . .,,,,,
137,steward . . . . . . . . . .,. . . . . . .,,,,,
138,. . . . . . . . . . .,. . . . . . .,,,,,
