ID,JoinOcc,JoinCount
0126,dom duties . . . . . . . . .,. . . . . . . .
0127,. shirt m . teacher . palin sewer . domestic duties,1 . . 1 . 1 . .
0128,. domestic duties . . . . . . . .,1 . . . . . . .
0129,. domestic duties . . . . . . . .,1 . . . . . . .
0130,. domestic duties . . . . . . . .,1 . . . . . . .
0131,washing . sewing . . . . . . . .,. . . . . . . .
0132,days work . . . . . . . . .,. . . . . . . .
0133,dom duties . . . . . . . . .,. . . . . . . .
0134,washer . . . . . . . . . .,. . . . . . . .
0135,dom duties . . . . . . . . .,. . . . . . . .
0136,dom duties . . . . . . . . .,. . . . . . . .
0137,washer . . . . . . . . . .,. . . . . . . .
0138,. white washer . servicd about . . . . .,1 . . 1 . . . .
0139,days work . . . . . . . . .,. . . . . . . .
0140,days work . . . . . . . . .,. . . . . . . .
0141,days work . . . . . . . . .,. . . . . . . .
0142,washer . . . . . . . . . .,. . . . . . . .
0143,huster . . . . . . . . . .,. . . . . . . .
0144,huxter . . . . . . . . . .,. . . . . . . .
0145,dress maker . . . . . . . . .,. . . . . . . .
0146,. washer . dressma . . . . . . .,1 . 1 . . . . .
0147,sempstress . . . . . . . . . .,. . . . . . . .
0148,washer . . . . . . . . . .,. . . . . . . .
0149,washer . . . . . . . . . .,. . . . . . . .
0150,washer . . . . . . . . . .,. . . . . . . .
0151,washer . . . . . . . . . .,. . . . . . . .
0152,washer . . . . . . . . . .,. . . . . . . .
0153,. . . . . . . . . . .,. . . . . . . .
0154,. . . . . . . . . . .,. . . . . . . .
0155,. dress maker . . . . . . . .,2 . . . . . . .
0156,domestic duties . . . . . . . . .,. . . . . . . .
0157,washer . . . . . . . . . .,. . . . . . . .
0158,boot fitter . . . . . . . . .,. . . . . . . .
0159,washer . . . . . . . . . .,. . . . . . . .
0160,days work . . . . . . . . .,. . . . . . . .
0161,rag gatherer . . . . . . . . .,. . . . . . . .
0162,days work . . . . . . . . .,. . . . . . . .
0163,domestic duties . . . . . . . . .,. . . . . . . .
0164,. . . . . . . . . . .,. . . . . . . .
0165,. washer . dress maker . . . . . .,1 . 1 . . . . .
0166,. washer . dressm . milliner . . . . .,1 . 1 . . . . .
0167,washer . . . . . . . . . .,. . . . . . . .
0168,domestic duties . . . . . . . . .,. . . . . . . .
0169,. dom duties . dress maker . sempstress . . .,1 . . 1 . . 1 .
0170,sempstress . . . . . . . . . .,. . . . . . . .
0171,sempstress . . . . . . . . . .,. . . . . . . .
0172,domestic duties . . . . . . . . .,. . . . . . . .
0173,. dress maker . . . . . . . .,5 . . . . . . .
0174,domestic duties . . . . . . . . .,. . . . . . . .
0175,. washer . dress maker . . . . . .,1 . 1 . . . . .
0176,. . . . . . . . . . .,. . . . . . . .
0177,domestic duties . . . . . . . . .,. . . . . . . .
0178,washer . . . . . . . . . .,. . . . . . . .
0179,domestic duties . . . . . . . . .,. . . . . . . .
0180,washer . . . . . . . . . .,. . . . . . . .
0181,washer . . . . . . . . . .,. . . . . . . .
0182,washer . . . . . . . . . .,. . . . . . . .
0183,days work . . . . . . . . .,. . . . . . . .
0184,. . . . . . . . . . .,. . . . . . . .
0185,various . . . . . . . . . .,. . . . . . . .
0186,. dom duties . in rag store . . . .,1 . . 1 . . . .
0187,washer . . . . . . . . . .,. . . . . . . .
0188,washer . . . . . . . . . .,. . . . . . . .
0189,washer . . . . . . . . . .,. . . . . . . .
0190,washer . . . . . . . . . .,. . . . . . . .
0191,days work . . . . . . . . .,. . . . . . . .
0192,days work . . . . . . . . .,. . . . . . . .
0193,. dom duties . washer . . . . . .,1 . . 1 . . . .
0194,washer . . . . . . . . . .,. . . . . . . .
0195,dress maker . . . . . . . . .,. . . . . . . .
0196,white washer . . . . . . . . .,. . . . . . . .
0197,service . . . . . . . . . .,. . . . . . . .
0198,washer . . . . . . . . . .,. . . . . . . .
0199,washer . . . . . . . . . .,. . . . . . . .
0200,domestic duties . . . . . . . . .,. . . . . . . .
0201,dress maker . . . . . . . . .,. . . . . . . .
0202,service . . . . . . . . . .,. . . . . . . .
0203,days work . . . . . . . . .,. . . . . . . .
0204,dress maker . . . . . . . . .,. . . . . . . .
0205,washer . . . . . . . . . .,. . . . . . . .
0206,washer . . . . . . . . . .,. . . . . . . .
0207,days work . . . . . . . . .,. . . . . . . .
0208,stewardess . . . . . . . . . .,. . . . . . . .
0209,days work . . . . . . . . .,. . . . . . . .
0210,tailoress . . . . . . . . . .,. . . . . . . .
0211,washer . . . . . . . . . .,. . . . . . . .
0212,days work . . . . . . . . .,. . . . . . . .
0213,days work . . . . . . . . .,. . . . . . . .
0214,days work . . . . . . . . .,. . . . . . . .
0215,washer . . . . . . . . . .,. . . . . . . .
0216,washer . . . . . . . . . .,. . . . . . . .
0217,washer . . . . . . . . . .,. . . . . . . .
0218,. . . . . . . . . . .,. . . . . . . .
0219,cool . . . . . . . . . .,. . . . . . . .
0220,washer . . . . . . . . . .,. . . . . . . .
0221,washer . . . . . . . . . .,. . . . . . . .
0222,service . . . . . . . . . .,. . . . . . . .
0223,days work . . . . . . . . .,. . . . . . . .
0224,washer . . . . . . . . . .,. . . . . . . .
0225,washer . . . . . . . . . .,. . . . . . . .
0226,washer . . . . . . . . . .,. . . . . . . .
0227,various . . . . . . . . . .,. . . . . . . .
0228,service . . . . . . . . . .,. . . . . . . .
0229,. washer . sempstress . . . . . . .,1 . 1 . . . . .
0230,washer . . . . . . . . . .,. . . . . . . .
0231,washer . . . . . . . . . .,. . . . . . . .
0232,washer . . . . . . . . . .,. . . . . . . .
0233,. . . . . . . . . . .,. . . . . . . .
