HOUSEHOLD ID,OCCUPATION 1,COUNT,OCCUPATION 2,COUNT,OCCUPATION 3,COUNT
298,dressmaker ,1
299,null,null
300,service ,1
301,washer ,1,dressmaker ,1
302,upholsteress ,1
303,assists husband ,1
304,dressmaker ,1,washer ,1,nurse ,1
305,shirt maker ,3,quilter ,1
306,null,null
307,washer ,1
308,washer ,1
309,washer ,1
310,muffin baker ,1
311,intelligence office ,1,sempstress ,1
312,childs nurse ,1,days work ,1
313,washer ,1
314,washer ,1
315,domestic duties ,1
316,washer ,1
317,washer ,1
318,washer ,1
319,washer irregular ,1
320,sempstress ,1
321,days work ,1
322,dom duties ,1
323,care takes school room ,1
324,sempstress ,1
325,days work in spring & fall,1
326,washer ,1,sempstress ,1
327,service ,1
328,whitewasher ,3
329,washer ,1,tailoress ,1
330,shirtm ,1,dom duties ,1
331,washer ,1,dressmaker ,1
332,dressmaker ,1,milliner ,1
333,washer ,1
334,days work ,1,dressm iregular ,1
335,service ,1
336,days work ,1
337,null,null
338,null,null
339,washer very irregular ,1
340,days work irregular ,1
341,days work irregular ,1
342,days work irregular ,1
343,domestic duties ,1
344,days work ,1
345,days work ,1
346,days work irregular ,1
347,janitor ,1
348,days work average ,1
349,days work ,1
350,days work ,1
351,days work irregular ,1
352,null,null
353,days work ,1,rag sorter ,1
354,days work ,1
355,days work irregular ,1
356,days work irregular ,1
357,days work ,1
358,days work ,1
359,days work considerable in summer ,1
360,days work irregular ,1
361,days work very little ,1
362,washer ,1
363,domestic duties ,1
364,washer cant tell ,1
365,days work ,1
366,whitewasher ,1
367,not able to work ,1
368,washer cant tell ,1
369,service ,1
370,days work ,1
371,washer ,1
372,days work ,1
373,washer ,3
374,dressmakers very little ,3
375,sempstress irregular ,1
376,washer cant tell ,1
377,washer very little ,1
378,dom duties ,1
379,days work very little ,1
380,sempstress ,1
381,dom duties ,1
382,washer ,1
383,domestic duties ,1
384,washer ,1
385,washer ,1
386,dom duties ,1,dressmaker ,1
387,washer very little ,1
388,days work ,1
389,confectioner ,1
390,days work very little ,1
391,days work ,1
392,washer very little ,1
393,washer irregular ,1
394,rug maker ,1
395,washer cant tell ,1
396,washer ,1
397,days work ,1
398,washer but little ,1
399,washer but little ,1
400,washer cant tell ,1
401,service ,1
402,washer irregular ,1
403,does nothing ,1
404,washer very little ,1
405,dress m millinery dont know ,1
406,days work ,1
407,shop keeper ,1
408,days work very little ,1
409,washer ,1,whitewasher ,1
410,sempstress dont know ,1
411,school teacher ,1
412,dressm very little ,1
413,cook ,1
414,cook ,1
415,washer ,1
416,days work ,1
417,washer ,1
418,washer ,1
419,washer ,1
420,washer ,1
421,null,null
422,null,null
423,null,null
424,days work ,1
425,washer ,1
426,sempstress ,1
427,assists husband ,1
428,days work ,1
429,not able to work ,1
430,washer little ,1
431,null,null
432,dom duties ,1
433,days work ,1
434,washer cant tell ,1,not able to work ,1
435,days work ,1
436,days work irregular ,1
437,days work ,1
438,washer very little ,1
439,service ,1
440,washer ,1
441,days work very dull ,1
442,days work when can get it ,1
443,dressm nothing to do ,1
444,washer ,1,whitewasher ,1
445,service ,1
446,cook ,1
447,washer not able to do much ,1
448,domestic duties ,1
449,washer ,1
450,washer ,1
451,washer cant get much to do ,1
452,washer irregular ,1
453,washer ,1
454,not able to work ,1
455,service ,1
456,days work ,1
457,domestic duties ,1
458,service ,1
459,days work ,1
460,days work ,1
461,days work ,1
462,domestic duties ,1
463,cook ,1
464,sempstress ,1
465,days work ,1
466,washer dont know ,1
467,sempstress ,1
468,days work ,1
469,shop keeper ,1
470,washer when able ,1
471,dressmaker ,1
472,null,null
473,makes cocoanut candy ,1
474,cook ,1
475,days work ,1
476,huckster,1
477,washer ,1
478,washer ,1
479,washing or sewing when can get it ,1
480,null,null
481,domestic duties ,1
482,washer ,1
483,days work ,2
484,days work when can get it ,1
485,days work occasionally ,1
486,service ,1
487,days work very dull ,1
488,null,null
489,days work very little ,1
490,not able to work ,1
491,washer cant make much gets cheated so ,1
492,null,null
493,cook ,1
494,washer dont know ,1
495,service ,1
496,dom duties ,1
497,null,null
498,washer ,1
499,days work ,1
500,null,null
501,null,null
502,days work ,1
503,huckster,1
504,days work very little ,1
505,days work ,1
506,days work when able ,1
507,washes ,1
508,days work very dull ,1
509,dom duties ,1
510,washer when can get it ,1
511,days work scarcely any ,1
512,cuts carpet rags ,1
513,not able to work ,1
514,wash when can get it ,1
515,days work slack time now ,1
516,days work ,1
517,cook when able to go ,1
518,cook ,1
519,days work ,1
520,days work ,1
521,days work ,1
522,cuts carpet rags ,1
523,huckster,1
524,at days work irregular ,2
525,assist father ,1
526,days work ,1
527,various ,1
528,various so little ,1
529,huckster,1
530,dom duties ,1
531,dom duties ,1,dressmaker ,1
532,days work sempstree irregular ,1
533,null,null
534,washer ,1
535,days work ,1
536,assists husband ,1
537,quilter cant tell ,1
538,washer ,1,white washer cant tell ,1
539,domestic duties ,1
540,service ,1
541,null,null
542,days work ,1,sempstress very dull ,1
543,domestic duties ,1
544,washer ,2
545,washer ,1
546,days work ,1,sempstress uncertain ,1
547,not able to work ,1
548,various ,1
549,service ,1
550,days work ,1,not able ,1
551,days work ,1
552,eating house ,1,sempstress ,1
553,null,null
554,not able to work ,1
555,days work almost nothing ,1
556,null,null
557,shirt maker ,1
558,cake baker ,1
559,days work very little ,2
560,washer cant tell ,1
561,washer dont know ,1
562,washer cant tell ,1
563,days work ,1
564,days work ,1
565,days work ,1
566,days work ,1
567,washer ,1
568,days work ,1
569,days work when can get it ,1
570,washer ,1,dressmaker ,1
571,sempstress ,1
572,shop keeper ,1
573,dressm very little ,1
574,domestic duties ,1
575,days work ,1
576,washer ,1
577,null,null
578,days work ,1
579,huckster,1,doubtful ,1
580,washer ,1
581,days work ,1
582,days work ,1
583,washer irregular ,1
584,dom duties ,1
585,assists husband ,1
586,service commonly ,1
587,washer ,1
